,Song_name,queen
10,the miracle   ,"""Every drop of rain that falls in Sahara Desert says it all It's a miracle All God's creations great and small The Golden Gate and the Taj Mahal That's a miracle Test tube babies being born Mothers, fathers dead and gone It's a miracle"", ""We're having a miracle on earth Mother nature does it all for us The wonders of this world go on The hanging Gardens of Babylon Captain Cook and Cain and Able Jimi Hendrix to the Tower of Babel It's a miracle it's a miracle it's a miracle"", ""It's a miracle"", ""The one thing we're all waiting for is peace on earth, an end to war"", ""It's a miracle we need, the miracle The miracle we're all waiting for today"", ""If every leaf on every tree could tell a story that would be a miracle If every child on every street had clothes to wear and food to eat That's a miracle"", ""If all God's people could be free to live in perfect harmony It's a miracle"", ""We're having a miracle on earth Mother nature does it all for us Open hearts and surgery (wonders of this world go on) Sunday mornings with a cup of tea Super powers always fighting"", ""But Mona Lisa just keeps on smiling It's a miracle it's a miracle it's a miracle (wonders of this world go on)"", ""It's a miracle it's a miracle it's a miracle It's a miracle The one thing (the one thing) we're all waiting for (we're all waiting for)"", ""Is peace on earth (peace on earth) and an end to war (an end to war) It's a miracle we need, the miracle The miracle Peace on earth and end to war today That time will come one day you'll see when we can all be friends That time will come one day you'll see when we can all be friends That time will come one day you'll see when we can all be friends That time will come one day you'll see when we can all be friends..."""
11,let me live   ,"""Take a piece of my heart Take a piece of my soul Let me live"", ""Why don't you take another little piece of my heart Why don't you take it and break it and tear it all apart All I do is give and all you do is take Baby why don't you give me a brand new start"", ""So let me live, so let me live Let me live, leave me alone) Let me live, baby And make a brand new start"", ""Why don't you take another little piece of my soul Why don't you shape it and shake it 'til you're really in control All you do is take and all I do is give All that I'm askin' is a chance to live"", ""So let me live, so let me live Leave me alone, let me live, let me live Why don't you let me make a brand new start?"", ""And it's a long hard struggle But you can always depend on me And if you're ever in trouble You know where I will be"", ""Why don't you take another little piece of my life Why don't you twist it and turn it and cut it like a knife All you do is live all I do is die Why can't we just be friends, stop livin' a lie"", ""So let me live, so let me live Let me live, leave me alone Please let me live Why don't you live a little, baby Why don't you give a little love?"", ""Go for it baby"", ""Let me live Please let me live Baby, let me live And make a brand new start"", ""Let me live, let me live Let me live Come on, let me live In your heart, baby"", ""Take another piece, take another piece Take another piece, take another piece Please let me live Take another piece, take another piece Take another piece, take another piece Why don't you take another piece? Take another little piece of my heart, baby"", ""Make a brand new start Baby baby baby baby Baby baby baby baby All you do is take, take Let me live, let me live Oh yeah let Let me live"""
12,somebody to love   ,"""Can anybody find me somebody to love?"", ""Each morning I get up I die a little Can barely stand on my feet (Take a look at yourself) Take a look in the mirror and cry Lord what you're doing to me I have spent all my years in believing you But I just can't get no relief, Lord! Somebody, somebody Can anybody find me somebody to love?"", ""I work hard (he works hard) every day of my life I work 'till I ache in my bones At the end (at the end of the day) I take home my hard earned pay all on my own I get down (down) on my knees (knees) And I start to pray Till the tears run down from my eyes Lord somebody, somebody (Please) can anybody find me somebody to love?"", ""(He works hard) Everyday (everyday) I try and I try and I try But everybody wants to put me down They say I'm going crazy They say I got a lot of water in my brain Got no common sense I got nobody left to believe in"", ""Lord, somebody, somebody Can anybody find me somebody to love? (Can anybody find me someone to love?)"", ""Got no feel, I got no rhythm I just keep losing my beat (you just keep losing and losing) I'm OK, I'm alright (he's alright, he's alright) I ain't gonna face no defeat"", ""I just gotta get out of this prison cell One day (someday) I'm gonna be free, Lord! Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love"", ""Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love love love Find me somebody to love Find me somebody to love Somebody somebody somebody somebody Somebody find me Somebody find me somebody to love Can anybody find me somebody to love?"", ""(Find me somebody to love) (Find me somebody to love) Find me somebody, somebody (Find me somebody to love) somebody, somebody to love Find me, find me, find me, find me, find me Somebody to love (Find me somebody to love) (Find me somebody to love) Find me, find me, find me somebody to love (Find me somebody to love) Anybody, anywhere, anybody find me somebody to love love love! Find me, find me, find me love"""
13,stone cold crazy   ,"""Sleeping very soundly on a Saturday morning I was dreaming I was Al Capone There's a rumour going round, gotta clear outta town I'm smelling like a dry fish bone Here come the Law, gonna break down the door, gonna carry me away once more Never, never, never get it any more Gotta get away from this stone cold floor Crazy Stone cold crazy, you know"", ""Rainy afternoon I gotta blow a typhoon and I'm playing on my slide trombone Anymore, anymore, cannot take it anymore"", ""Gotta get away from this stone cold floor Crazy Stone cold crazy, you know"", ""Walking down the street, shooting people that I meet with my rubber tommy water gun Here come the deputy, he's gonna come and getta me I gotta get me get up and run They got the sirens loose I ran outta juice They're gonna put me in a cell, if I can't go to heaven Will they let me go to hell Crazy Stone cold crazy, you know"""
14,the show must go on remastered 2011   ,"""Empty spaces - what are we living for Abandoned places - I guess we know the score On and on, does anybody know what we are looking for... Another hero, another mindless crime Behind the curtain, in the pantomime Hold the line, does anybody want to take it anymore The show must go on, The show must go on Inside my heart is breaking My make-up may be flaking But my smile still stays on. Whatever happens, I'll leave it all to chance Another heartache, another failed romance On and on, does anybody know what we are living for? I guess I'm learning, I must be warmer now I'll soon be turning, round the corner now Outside the dawn is breaking But inside in the dark I'm aching to be free The show must go on The show must go on Inside my heart is breaking My make-up may be flaking But my smile still stays on My soul is painted like the wings of butterflies Fairytales of yesterday will grow but never die I can fly - my friends The show must go on The show must go on I'll face it with a grin I'm never giving in On - with the show - I'll top the bill, I'll overkill I have to find the will to carry on On with the - On with the show - The show must go on..."""
15,dont try so hard   ,"""If you're searching out for something Don't try so hard If you're feeling kind of nothing Don't try so hard"", ""When your problems seem like mountains Feel the need to find some answers You can leave them for another day Don't try so hard"", ""But if you fall and take a tumble It won't be far If you fail you mustn't grumble Thank your lucky stars"", ""Just savour every mouthful And treasure every moment When the storms are ranging round you Stay right where you are"", ""Don't try so hard Don't take it all to heart It's only fools, they make these rules Don't try so hard"", ""One day you'll be a sergeant major You'll be so proud Screaming out your bloody orders Hey! but not too loud"", ""Polish all your shiny buttons Dressed as lamb instead of mutton But you never had to try To stand out from the crowd"", ""What a beautiful world This is the life for me What a beautiful world Is the simple life for me"", ""Don't try so hard Don't take it all to heart It's only fools, they make these rules Don't try so hard Don't try so hard"""
16,love of my life remastered 2011   ,"""Love of my life, you've hurt me You've broken my heart and now you leave me. Love of my life can't you see Bring it back, bring it back Don't take it away from me because you don't know what it means to me."", ""Love of my life, don't leave me You've taken my love, you now desert me Love of my life, can't you see? Bring it back, bring it back Don't take it away from me because you don't know what it means to me."", ""You will remember When this is blown over And everything's all by the way When I grow older I will be there at your side to remind you how I still love you, I still love you."", ""Back, hurry back Please, bring it back home to me because you don't know what it means to me. Love of my life Love of my life..."""
17,crazy little thing called love remastered 2011   ,"""This thing called love I just can't handle it this thing called love I must get round to it I ain't ready Crazy Little Thing Called Love"", ""This (This Thing) called love (Called Love) It cries (Like a baby) In a cradle all night It swings (Woo Woo) It jives (Woo Woo) It shakes all over like a jelly fish, I kinda like it Crazy Little Thing Called Love There goes my baby She knows how to Rock n' roll She drives me crazy She gives me hot and cold fever Then she leaves me in a cool cool sweat"", ""I gotta be cool relax, get hip Get on my track's Take a back seat, hitch-hike And take a long ride on my motor bike Until I'm ready Crazy Little Thing Called Love"", ""I gotta be cool relax, get hip Get on my track's Take a back seat, hitch-hike And take a long ride on my motor bike Until I'm ready (Ready Freddie) Crazy Little Thing Called Love"", ""This thing called love I just can't handle it this thing called love I must get round to it I ain't ready Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love..."""
18,fat bottomed girls remastered 2011   ,"""Are you gonna take me home tonight? Ah down beside that red firelight Are you gonna let it all hang out? Fat bottomed girls You make the rockin' world go round Hey I was just a skinny lad Never knew no good from bad But I knew life before I left my nursery huh Left alone with big fat Fanny She was such a naughty nanny Heap big woman you made a bad boy out of me Hey hey! I've been singing with my band Across the wire across the land I seen every blue eyed floozy on the way, hey But their beauty and their style Went kind of smooth after a while Take me to them dirty ladies everytime C'mon Oh won't you take me home tonight? Oh down beside your red firelight Oh and you give it all you got Fat bottomed girls You make the rockin' world go round Fat bottomed girls You make the rockin' world go round"", ""Hey listen here Now I got mortgages on homes I got stiffness in ma' bones Ain't no beauty queens in this locality (I tell you) Oh but I still get my pleasure Still get my greatest treasure Heap big woman you gonna make a big man out of me Now get this Oh (I know) you gonna take me home tonight (please) Oh down beside that red firelight Are you gonna let it all hang out? Fat bottomed girls You make the rockin' world go round yeah Fat bottomed girls You make the rockin' world go round Get on your bikes and ride Oh yeah oh yeah them fat bottomed girls Fat bottomed girls Yeah yeah yeah Alright, ride 'em, c'mon Fat bottomed girls, yes yes"""
19,heaven for everyone   ,"""This could be heaven This could be heaven This could be heaven This could be heaven this could be heaven for everyone In these days of cool reflection (reflection)"", ""You come to me and everything seems alright In these days of cold affections You sit by me and everything's fine This could be heaven for everyone This world could be fed this world could be fun This could be heaven for everyone This world could be free"", ""this world could be one In this world of cool deception Just your smile can smooth my ride These troubled days of cruel rejection You come to me, soothe my troubled mind Yeah this could be heaven for everyone This world could be fed this world could be fun"", ""This should be love for everyone (yeah) This world should be free this world could be one We should bring love to our daughters and sons Love, love, love, love This could be heaven for everyone You know that (this could be heaven for everyone)"", ""Yes! (this could be heaven for everyone) This could be heaven for everyone Listen. What people do to other souls They take their lives, destroy their goals Their basic pride and dignity Is stripped and torn and shown no pity When this should be heaven for everyone This could be heaven this could be heaven This could be heaven for everyone"", ""This could be heaven could be heaven for everyone This could be heaven (this could be heaven) This could be heaven could be heaven for everyone"", ""This could be heaven (this could be heaven) This could be heaven could be heaven for everyone This could be heaven This could be heaven for everyone This could be heaven This could be heaven This could be heaven... For everyone For everyone"""
