,Song_name,queen
83,your kind of lover   ,"""Now you say you're leaving me I just can't believe it's true You're my kind of lover Wanna little bit of feeling Add a little bit of meaning to my life I wanna little bit of feeling A little bit of sunshine to my life I wanna be your kind of lover Give a little bit of feeling Just a little bit of feeling Add a little bit of meaning to my life"", ""I wanna boogie down with you, brother Boogie down with bassman Win love on the grandslam I'll be there waititng when you call."", ""Just step right into my heart Come a little closer Don't tell me that it's over Make a brand new start We can work it out just next to nothing Work it out, work it out just next to nothing With feeling, feeling, feeling, with feeling"", ""We can work it out Let me show what I can do, I can be your kind of lover We can work it out Let me show what I can do, I can be your kind of lover"", ""I wanna be your kind of mother Let's talk about loving right Don't talk about doing wrong Put a little bit of sense into your mind We gotta talk it out man to man Make each other understand Right now a little happiness would be fine"", ""Just step right into my heart Come a little closer Don't tell me that it's over Make a brand new start We can work it out just next to nothing Work it out, work it out just next to nothing With feeling, feeling, feeling, with feeling"", ""We can work it out Let me show what I can do, I can be your kind of lover We can work it out Let me show what I can do, I can be your kind of lover Your kind of lover"""
84,killer  2011 remaster   ,"""She keeps a Moet & Chandon in her pretty cabinet 'Let them eat cake' she says just like Marie Antoinette A built-in remedy for Khrushchev and Kennedy"", ""At anytime an invitation you can't decline Caviar and cigarettes Well versed in etiquette"", ""Extraordinarily nice She's a Killer Queen Gunpowder, gelatine Dynamite with a laser beam"", ""Guaranteed to blow your mind anytime Oh... Recommended at the price Insatiable an appetite"", ""Wanna try?"", ""To avoid complications she never kept the same address In conversation she spoke just like a baroness Met a man from China went down to Geisha Minah"", ""Then again incidentally if you're that way inclined Perfume came naturally from Paris For cars she couldn't care less"", ""Fastidious and precise She's a Killer Queen Gunpowder, gelatine Dynamite with a laser beam"", ""Guaranteed to blow your mind anytime"", ""Drop of a hat she's as willing as Playful as a pussy cat"", ""Then momentarily out of action Temporarily out of gas To absolutely drive you wild, wild She's all out to get you She's a Killer Queen Gunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind anytime. Oh... Recommended at the price Insatiable an appetite Wanna try? Wanna try..."""
85,baby i dont care   ,"""Words and music by buddy holly"", ""You don't like crazy music, you don't like rockin' You just want to go to a movie show, and sit their holdin' hands You're so square, baby I don't care"", ""I don't know why my heart blips, I only know it does I only want to love you baby, I guess it's just because You're so square, baby I don't care"", ""You don't know any dance steps, but I do-a-hoo-hoo I only know why I love you like I do-a-do-a-do-a-do You don't like crazy music, you don't like rockin' You just want to go to a movie show, and sit their holdin' hands You're so square, baby I don't care Baby I don't care, baby I don't care"""
86,innuendo   ,"""One, two, three, four"", ""While the sun hangs in the sky and the desert has sand While the waves crash in the sea and meet the land While there's a wind and the stars and the rainbow Till the mountains crumble into the plain"", ""Yes, we'll keep on tryin' Tread that fine line Yes, we'll keep on tryin' Just machine at the time"", ""While we live according to race, colour or creed While we rule by blind madness and pure greed Our lives dictated by tradition, superstition, false religion Through the aeons, and on and on"", ""Yes, we'll keep on tryin' Trad my far life Yes, we'll keep on tryin' Till the end of time Till the end of time"", ""Through the sorrow, all through our splendour Don't take offence at my innuendo Do-do-do-do-do-do Do-do-do-do-do-do-do"", ""You can be anything you want to be Just turn yourself into anything you think that you could ever be Be free with your tempo, be free, be free Surrender your ego, be free, be free to yourself!"", ""If there's a God or any kind of justice under the sky If there's a point, if there's a reason to live or die If there's an answer to the questions we feel bound to ask Show yourself destroy our fears, release your mask"", ""Yes, we'll keep on tryin' Tread my far life Yes, we'll keep on tryin' And forever will be!"", ""Keep on tryin' Just keep on tryin' Till the end of time Till the end of time Till the end of time"""
87,i want to break free   ,"""I want to break free I want to break free I want to break free from your lies You're so self satisfied I don't need you I've got to break free God knows, God knows I want to break free"", ""I've fallen in love I've fallen in love for the first time And this time I know it's for real I've fallen in love God knows, God knows I've fallen in love"", ""It's strange but it's true I can't get over the way you love me like you do But I have to be sure When I walk out that door How I want to be free, baby How I want to be free How I want to break free"", ""But life still goes on I can't get used to, living without, living without Living without you by my side I don't want to live alone God knows, got to make it on my own"", ""So baby can't you see I've got to break free I've got to break free I want to break free I want, I want, I want, I want to break free"""
88,living on my own   ,"""Sometimes I fell I'm gonna break down and cry Nowwhere to go, nothing to do with my time I get lonely, so lonely, living on my own Come on baby"", ""Sometimes I fell I'm gonna break down and cry Nowwhere to go, nothing to do with my time I get lonely, so lonely, living on my own"", ""Sometimes I I feel I'm always walking too fast (so lonely) And everything is coming down on me, down on me I go crazy, oh so crazy, living on my own"", ""Dee do de de, dee do de de I don't have no time for no monkey business De do de de, dee do de de I get so lonely lonely lonely lonely yeah Got to be some good times ahead"", ""Sometimes I feel nobody gives me no warning Find my head is always up in the clouds In a dream world it's not easy Living on my own, my own, my own Dee do de de, dee do de de I don't have no time for no monkey business De do de de, dee do de de I get so lonely lonely lonely lonely yeah Got to be some good times ahead"", ""Dee do de de, dee do de de I don't have no time for no monkey business De do de de, dee do de de I get so lonely lonely lonely lonely yeah Got to be some good times ahead"", ""Dee dup de dup de dup ... oh Dee dup de dup de dup ... oh"", ""Come on baby"", ""Dee do de de, dee do de de I don't have no time for no monkey business De do de de, dee do de de I get so lonely lonely lonely lonely yeah Got to be some good times ahead"""
89,i will make you love   ,"""I will make you love I will make you fly to the journey stars we are living high"""
90,dont stop me now remastered   ,"""Tonight I'm gonna have myself a real good time I feel alive and the world it's turning inside out Yeah! I'm floating around in ecstasy So don't stop me now Don't stop me 'Cause I'm having a good time having a good time"", ""I'm a shooting star leaping through the skies Like a tiger defying the laws of gravity I'm a racing car passing by like Lady Godiva I'm gonna go go go There's no stopping me"", ""I'm burning through the sky yeah! Two hundred degrees That's why they call me Mister Fahrenheit I'm traveling at the speed of light I wanna make a supersonic man out of you"", ""Don't stop me now I'm having such a good time I'm having a ball Don't stop me now If you wanna have a good time Just give me a call"", ""Don't stop me now ('Cause I'm having a good time) Don't stop me now (Yes I'm having a good time) I don't want to stop at all... yeah!"", ""I'm a rocket ship on my way to Mars On a collision course I am a satellite I'm out of control I am a sex machine ready to reload Like an atom bomb about to Oh oh oh oh oh explode"", ""I'm burning through the sky Yeah! Two hundred degrees That's why they call me Mister Fahrenheit I'm traveling at the speed of light I wanna make a supersonic woman of you"", ""Don't stop me Don't stop me Don't stop me Hey hey hey!"", ""Don't stop me Don't stop me Ooh ooh ooh (I like it)"", ""Don't stop me Don't stop me Have a good time, good time"", ""Don't stop me Don't stop me Ooh ooh alright"", ""Ooh I'm burning through the sky yeah! Two hundred degrees That's why they call me Mister Fahrenheit I'm traveling at the speed of light I wanna make a supersonic man out of you"", ""Don't stop me now I'm having such a good time I'm having a ball Don't stop me now If you wanna have a good time Just give me a call"", ""Don't stop me now ('Cause I'm having a good time) Don't stop me now (Yes I'm having a good time) I don't wanna stop at all"", ""La la la la la La la la la La la laa laa laa la La la laa la la la la la laa hey!!..."""
91,dont stop me now remastered 2011   ,"""Tonight I'm gonna have myself a real good time I feel alive And the world I'll turn it inside out - yeah I'm floating around in ecstasy So don't stop me now"", ""Don't stop me 'Cause I'm having a good time having a good time I'm a shooting star leaping through the sky Like a tiger defying the laws of gravity I'm a racing car passing by like Lady Godiva"", ""I'm gonna go go go There's no stopping me I'm burnin' through the sky yeah Two hundred degrees That's why they call me Mister Fahrenheit"", ""I'm trav'ling at the speed of light I wanna make a supersonic man out of you Don't stop me now I'm having such a good time I'm having a ball Don't stop me now If you wanna have a good time just give me a call Don't stop me now ('Cause I'm having a good time)"", ""Don't stop me now (Yes I'm havin' a good time) I don't want to stop at all Yeah, I'm a rocket ship on my way to Mars On a collision course I am a satellite I'm out of control I am a sex machine ready to reload"", ""Like an atom bomb about to Oh oh oh oh oh explode I'm burnin' through the sky yeah Two hundred degrees That's why they call me Mister Fahrenheit"", ""I'm trav'ling at the speed of light I wanna make a supersonic woman of you Don't stop me don't stop me Don't stop me hey hey hey Don't stop me don't stop me Ooh ooh ooh, I like it Don't stop me don't stop me Have a good time good time Don't stop me don't stop me ah"", ""Oh yeah Alright Oh, I'm burnin' through the sky yeah Two hundred degrees That's why they call me Mister Fahrenheit"", ""I'm trav'ling at the speed of light I wanna make a supersonic man out of you Don't stop me now I'm having such a good time I'm having a ball Don't stop me now If you wanna have a good time (wooh) Just give me a call (alright) Don't stop me now ('cause I'm having a good time - yeah yeah) Don't stop me now (yes I'm havin' a good time) I don't want to stop at all La da da da daah Da da da haa Ha da da ha ha haaa Ha da daa ha da da aaa"""
92,fun it   ,"""Everybody in the mornin' Should do a good turn all right Ev'rybody in the night time Should have a good time all night Now we got a movement Don't shun it Fun it Can't you see now you're movin' free? Get some fun join our dynasty Can't you tell when we get it down? You're the one you're the best in town Hey ev'rybody ev'rybody gonna have a good time tonight Just shakin' the soles of your feet Ev'rybody ev'rybody gonna have a good time tonight That's the only soul you'll ever meet They say that movin' the body's right it's all right That's the only one part of bein' alive all right all right Groove on out groove on up OK Do your thing do your thing your way Get your kicks get you tricks with me Get up and dance honey fun's for free Hey ev'rybody ev'rybody gonna have a good time tonight Just shakin' the soles of your feet Ev'rybody gonna have a good time tonight time tonight time tonight That's the only soul you'll ever meet Don't shun it Fun it Don't shun it Fun it Don't shun it Fun it"""
93,who wants to live forever live at wembley stadium july   ,"""There's no time for us There's no place for us What is this thing that builds our dreams"", ""Yet slips away from us"", ""Who wants to live forever Who wants to live forever Ooh"", ""There's no chance for us It's all decided for us This world has only one sweet moment Set aside for us"", ""Who wants to live forever Who wants to live forever Ooh"", ""Who dares to love forever Oh whoa, when love must die"", ""But touch my tears with your lips Touch my world with your fingertips And we can have forever And we can love forever Forever is our today"", ""Who wants to live forever Who wants to live forever"", ""Forever is our today Who waits forever, anyway"""
94,tutti frutti   ,"""Words and music by Little Richard"", ""Bop bopa-a-lu a whop bam boo Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy A whop bop-a-lu a whop bam boo"", ""Got a girl named Sue, she knows just what to do Got a girl named Sue, she knows just what to do She rock to the east, she rocks to the west She's the girl that I know best"", ""Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy A whop bop-a-lu a whop bam boo"", ""Got a girl named Daisy, she almost drives me crazy Got a girl named Daisy, she almost drives me crazy She knows how to love me, yes indeed Boy I don't know what you're doin' to me"", ""Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy A whop bop-a-lu a whop bam boo A whop bop-a-lu a whop bam boo (A whop bop-a-lu a whop bam boo) A whop bop-a-lu a whop bam boo Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy A whop bop-a-lu a whop bam boo"", ""Got a girl named Daisy, she almost drives me crazy Got a girl named Daisy, she almost drives me crazy She knows how to love me, yes indeed Boy I don't know what you're doin' to me"", ""Tutti frutti, oh Rudy Tutti frutti, oh Rudy Tutti frutti, oh Rudy A whop bop-a-lu a whop bam boo"""
95,voodoo   ,"""When the moon rises, the dogs will howl Look out of your window, I'll be on the prowl I'm not usually a gambling man But oh, I just wanna hold up my hands and say"", ""I'm taking a chance on you, love Woah, I'm taking a chance on you, love"", ""I'm not superstitious and I don't wear no charm I don't carry my heart on the sleeve of my arm Seven years of bad luck, please, don't worry me 'Cause when I look in to the mirror, here's the future I see"", ""I'm taking a chance on you, love Woah, I'm taking a chance on you, love"", ""Place your bets, better yet Don't forget what I said Roll the dice, spin the wheel Always remember, you've got to keep it real"", ""I don't believe in voodoo, black magic was never my style But I believe that you do, and it won't take much time To gather the portions that weave your magic spell, yeah The moon on the ocean has a secret to tell, but anyway"", ""I'm taking a chance on you, love Woah, I'm taking a chance on you, love Woah, I'm taking a chance on you, love Yeah"""
96,jesus   ,"""And then i saw him in the crowd a lot of people had gathered round him the beggars shouted the lepers called him the old man said nothing he just stared about him All going down to see the lord Jesus All going down to see the lord Jesus All going down Then came a man before his feet he fell unclean said the leper and rang his bell felt the palm of a hand touch his head go now go now you're a new man instead All going down to see the lord Jesus All going down to see the lord Jesus All going down It all began with the three wise men followed a star took them to bethlehem and made it heard throughout the land born was a leader of man All going down to see the lord Jesus All going down to see the lord Jesus All going down It all began with the three wise men followed a star took them to bethlehem and made it heard throughout the land born was a leader of man All going down to see the lord Jesus All going down to see the lord Jesus All going down"""
97,good company   ,"""Take good care of what you've got My father said to me As he puffed his pipe and Baby B He dandled on his knee Don't fool with fools who'll turn away Keep all good company Oh, ho, oh, ho Take care of those you call your own And keep good company"", ""Soon I grew up and happy too My very good friends and me We'd play all day with Sally J The girl from number four Very soon I begged her won't you Keep me company Oh, ho Oh, ho Oh, ho Oh, ho Come marry me for evermore We'll be good company"", ""Now marriage is an institution sure My wife and I, our needs and nothing more All my friends by a year By and by disappeared But we're safe enough behind our door"", ""I flourished in my humble trade My reputation grew The work devoured my waking hours But when my time was through Reward of all my efforts my own Limited company"", ""I hardly noticed Sally as we Parted company All through the years in the end it appears There was never really anyone but me Now I'm old I puff my pipe But no-one's there to see I ponder on the lesson of My life's insanity Take care of those you call your own, own, own And keep good company"""
99,seaside rendezvous   ,"""Seaside Whenever you stroll along with me I'm merely contemplating what you feel inside Meanwhile I ask you to be my Clementine You say you will if you could but you can't I love you madly Let my imagination run away with you gladly A brand new angle Highly commendable Seaside Rendezvous I feel so romantic. Can we do it again? Can we do it again sometime? (ooh I like that) Fantastic, c'est la vie Madames et Monsieurs And at the peak of the season, the Mediterranean This time of year it's so fashionable, I feel like dancing in the rain, Can I have a volunteer? Just keep right on dancing What a damn jolly good idea - It's such a jollification as a matter of fact, so tres charmant, my dear Underneath the moonlight Together we'll sail across the sea reminiscing every night (shine on silvery moonlight) Meantime (in the meantime, baby) I ask you to be my Valentine You say you'd have to tell your daddy if you can I'll be your Valentino We'll ride upon an omnibus and then the casino Get a new facial Start a sensation Seaside Rendezvous \u00e2\u0080\u0094 so adorable, Seaside Rendezvous \u00e2\u0080\u0094 ooh hoo Seaside Rendezvous \u00e2\u0080\u0094 give us a kiss"""
101,las palabras de amor   ,"""Queen Miscellaneous Las Palabras De Amor (The Words Of Love) Don't touch me now Don't hold me now Don't break the spell darling, now you are near Look in my eyes And speak to me The special promises I want to hear Las palabras de amor Let me hear the words of love Despacito mi amor Love me slow and gently One foolish world, so many souls Senselessly hurled through the never ending cold And all for fear, and all for greed Speak any tongue but for God's sake we need Let me hear the words of love Despacito mi amor Let me know, this night and evermore This room is bare This night is cold We're apart and I'm growing old But while we live, we'll meet again So then my love we may whisper once more It's you I adore Las palabras de amor Let me hear the words of love Despacito mi amor Touch me now Las palabras de amor Let us share the words of love For evermore For evermore"""
102,made in heaven   ,"""I'm taking my right with destiny Willing to play my part Living with painful memories Loving with all my heart Made in heaven, made in heaven It was all meant to be, yeah Made in heaven, made in heaven That's what they say Can't you see That's what everybody says to me Can't you see Oh I know, I know, I know, that it's true Yes it's really meant to be Deep in my heart I'm having to learn to pay the price They're turning me upside down Waiting for possibilities Don't see too many around Made in heaven, yes made in heaven It's for all to see Made in heaven, made in heaven That's what everybody says Everybody says to me It was really meant to be Oh can't you see Yeah, everybody, everybody says Yes it was meant to be Yeah, yeah When stormy weather comes around It was made in heaven When sunny skies break through behind the clouds I wish it could last forever, yeah Wish it could last forever, forever I'm playing my role in history Looking to find my goal Taking in all this misery But giving it all my soul Made in heaven, made in heaven It was all meant to be Made in heaven, made in heaven That's what everybody says Wait and see, it was really meant to be So plain to see Yeah, everybody, everybody, everybody tells me so Yes it was plain to see, yes it was meant to be Written in the stars... Written in the stars..."""
103,bohemian rhapsody   ,"""Is this the real life, is this just fantasy? Caught in a landslide no escape from reality Open your eyes look up to the skies and see I'm just a poor boy, I need no sympathy"", ""Because I'm easy come, easy go A little high, little low Anyway the wind blows Doesn't really matter to me, to me"", ""Mama, just killed a man Put a gun against his head Pulled my trigger, now he's dead Mama, life had just begun But now I've gone and thrown it all away"", ""Mama, ooh, ooh Didn't mean to make you cry If I'm not back again this time tomorrow Carry on, carry on as if nothing really matters"", ""Too late, my time has come Sends shivers down my spine Body's aching all the time Goodbye everybody, I've got to go"", ""Gotta leave you all behind and face the truth Mama, ooh (anyway the wind blows) I don't want to die I sometimes wish I'd never been born at all"", ""I see a little silhouette of a man Scaramouch, scaramouch will you do the fandango Thunderbolt and lightning, very, very frightening me Gallileo, Gallileo, Gallileo, Gallileo, Gallileo Figaro magnifico"", ""But I'm just a poor boy and nobody loves me He's just a poor boy from a poor family Spare him his life from this monstrosity Easy come easy go will you let me go"", ""Bismillah, no we will not let you go, let him go Bismillah, we will not let you go, let him go Bismillah, we will not let you go, let me go"", ""Will not let you go, let me go (never) Never let you go, let me go Never let me go, ooh No, no, no, no, no, no, no"", ""Oh mama mia, mama mia, mama mia let me go Beelzebub has a devil put aside for me For me, for me"", ""So you think you can stone me and spit in my eye So you think you can love me and leave me to die Oh baby, can't do this to me baby Just gotta get out, just gotta get right outta here"", ""Ooh yeah, ooh yeah nothing really matters Anyone can see nothing really matters Nothing really matters to me Anyway the wind blows"""
104,love of my live   ,"""Love of my life, you've hurt me You've broken my heart and now you leave me Love of my life can't you see Bring it back, bring it back Don't take it away from me Because you don't know - What it means to me"", ""Love of my life, don't leave me You've stolen my love and now desert me Love of my life can't you see Bring it back, bring it back Don't take it away from me Because you don't know - What it means to me"", ""You will remember When this is blown over And everything's all by the way When I grow older I will be there at your side to remind you How I still love you - I still love you"", ""Ooooo Hurry back, hurry back Dont take it away from me Because you don't know What it means to me"", ""Love of my life Love of my life ... Oooh, ooooh."""
105,under pressure   ,"""Pressure, pushing down on me, pressing down on you, no man ask for. Under pressure that burns a building down, splits a family in two, puts people on streets."", ""It's the terror of knowing what this world is about. Watching some good friends screaming, \""let me out\"". Tomorrow gets me higher. Pressure on people, people on streets."", ""Chippin' around, kick my brains around the floor. These are the days, it never rains but it pours."", ""People on streets. People on streets."", ""It's the terror of knowing what this world is about. Watching some good friends screaming, \""let me out\"". Tomorrow gets me higher, higher, high! Pressure on people, people on streets."", ""Turned away from it all like a blind man. Sat on a fence, but it don't work. Keep comin' up with love, but it's so slashed and torn. Why, why, why?"", ""Love (love, love, love, love). Insanity laughs, under pressure we're cracking."", ""Can't we give ourselves one more chance? Why can't we give love that one more chance? Why can't we give love, give love, give love, give love, give love, give love, give love, give love, give love. 'Cause love's such an old fashioned word, and love dares you to care for the people on the edge of the night, and love dares you to change our way of caring about ourselves. This is our last dance. This is ourselves."", ""Under pressure. Under pressure. Pressure."""
106,shizi   ,"""Immmer wenn ich sie gebraucht war sie niemals da...Shizi! Du warst nie f\u00fcr michdaaaaaaaaa! Nie warst du f\u00fcr mich daaaaa. Sie war f\u00fcr mich der Sommer, Xaivier Naido ich fick dir in deinen Arsch"""
107,these are days of our lifes   ,"""Sometimes I get the feelin' I was back in the old days long ago When we were kids when we were young Things seemed so perfect - you know The days were endless we were crazy we were young The sun was always shinin' we just lived for fun Sometimes it seems like lately I just don't know The rest of my life's been just a show"", ""Those were the days of our lives The bad things in life were so few Those days are all gone now but one thing is true When I look and I find I still love you"", ""You can't turn back the clock you can't turn back the tide Ain't that a shame I'd like to go back one time on a roller coaster ride When life was just a game No use in sitting and thinkin' on what you did When you can lay back and enjoy it through your kids Sometimes it seems like lately I just don't know Better sit back and go with the flow"", ""Cos these are the days of our lives They've flown in the swiftness of time These days are all gone now but some things remain When I look and I find no change"", ""Those were the days of our lives, yeah The bad things in life were so few Those days are all gone now but one thing's still true When I look and I find I still love you I still love you"""
108,flick of the wrist   ,"""Dislocate your spine if you don't sign he says I'll have you seeing double Mesmerize you when he's tongue-tied Simply with those eyes Synchronize your minds and see The beast within him rise"", ""Don't look back Don't look back It's a rip-off Flick of the wrist and you're dead baby Blow him a kiss and you're mad Flick of the wrist - he'll eat your heart out A dig in the ribs and then a kick in the head He's taken an arm and taken a leg All this time honey Baby you've been had."", ""Intoxicate your brain with what I'm saying If not you'll lie in knee-deep trouble Prostitute yourself he says Castrate your human pride Sacrifice your leisure days Let me squeeze you till you've dried"", ""Don't look back Don't look back It's a rip-off"", ""Work my fingers to my bones I scream with pain I still make no impression Seduce you with his money-make machine Cross-collateralize, (big-time money, money) Reduce you to a muzak-fake machine Then the last goodbye It's a rip-off"", ""Flick of the wrist and you're dead baby Blow him a kiss and you're mad Flick of the wrist - he'll eat your heart out A dig in the ribs and then a kick in the head He's taken an arm, and taken a leg All this time honey"""
109,hammer to fall live aid   ,"""Hey hey hey hey, \""Hammer to Fall\""!"", ""Here we stand or here we fall History don't care at all Make the bed, light the light Lady Mercy won't be home tonight"", ""You don't waste no time at all Don't hear the bell, but you answer the call It comes to you as to us all, yeah And it's time for the hammer to fall"", ""Every night, and every day A little piece of you is falling away But lift your face, the Western Way Build up..."", ""Tow your line and play their game 'Til the anesthetic covers it all 'Til one day they call your name Then it's time for the hammer to fall"", ""Rich or poor or famous For your truth is all the same (Oh no, oh no) Lock your door 'cause rain is pouring Through your window pane (Oh no) Baby, now your struggle's all in vain, oh, yeah"", ""For we who grew up tall and proud In the shadow of the mushroom cloud Convinced our voices can't be heard Just wanna scream it louder and louder and louder"", ""What the hell are we fighting for? Just surrender and it won't hurt at all Just got time to say your prayers Then it's time for the hammer to, hammer to fall"", ""It's going to fall!"", ""Hey, yeah Hey, yeah Hey, yeah One more time Waiting for the hammer to fall"", ""Give it to me one more time!"""
110,some day one day   ,"""You never heard my song before The music was too loud But now I think you hear me well For now we both know how No star can light our way In this cloud of dark and fear But someday one day"", ""Funny how the pages turn And hold us in between A misty castle waits for you And you shall be a Queen Today the cloud it hangs Over us and all is grey But someday one day"", ""When I was you and you were me And we were very young Together took us nearly there The rest may not be sung So still the cloud it hangs Over us and we're alone But Some Day One Day We'll come home"""
111,seven seas of rhye remix   ,"""Fear me you loathsome, lazy creatures I descend upon your earth from the skies I command your very souls you unbelievers Bring before me what is mine At the seven seas of Rhye"", ""Can you hear me you peers and privy councillors I stand before you naked to the eyes I will destroy any man who dares abuse my trust I swear that you'll be mine At the seven seas of Rhye"", ""Sister I live and lie for you Mister do or else die You are mine I possess you I belong to you forever"", ""Storm the master marathon I'll fly through By flash and thunder fire I'll survive (I'll survive, I'll survive) Then I'll defy the laws of nature And come out alive Then I'll get you"", ""Begone with you short and shady senators Give out the good, leave out the bad evil cries I challenge the mighty titan and his troubadours And with a smile I'll take you to the seven seas of Rhye"""
112,in the lap of the gods   ,"""Ahhhhhh Ahhhhhh Ah, ah Ooh, ooh Ah, ah Living in the lap Of the Gods"", ""I live my life for you Think all my thoughts with you and only you Anything you ask I do for you"", ""I touch your lips with mine But in the end I leave it to the lords Leave it in the lap of the Gods What more can I do"", ""Leave it in the lap of the Gods I leave it to you Leave it in the lap of the Gods Leave it in the lap of the Gods I want you to (ahhhhh)"", ""Leave it in the lap of the Gods Leave it in the lap of the Gods (ahhh, ah, ahhh) Leave it in the lap of the Gods (ah, ah, ah, ahhh, ahhh)"", ""Lap of the Gods Lap of the Gods (ah, ah, ah, ahh) Lap of the Gods (ah, ah, ah, ahhh) Lap of the Gods Lap of the Gods Lap of the Gods Lap of the Gods"""
113,reaching out   ,"""Lately, I've been hard to reach I've been too long on my own Everybody has a private world Where they can be alone"", ""Are you calling me? Are you trying to get through, wow Are you reaching out for me Like I'm reaching out for you?"""
114,love of my life live at rock in rio festival   ,"""Love of my life you've hurt me You've broken my heart And now you leave me Love of my life can't you see Bring it back, bring it back Don't take it away from me Because you don't know What it means to me"", ""Love of my life don't leave me You've taken my love You now desert me Love of my life, can't you see? Bring it back, bring it back Don't take it away from me Because you don't know What it means to me"", ""You will remember When this is blown over And everything's all by the way When I grow older I will be there at your side To remind you How I still love you I still love you"", ""Back, hurry back Please, bring it back home to me Because you don't know What it means to me"", ""Love of my life Love of my life"""
115,thank god its christmas   ,"""Oh my love we've had our share of tears Oh my friend we've had our hopes and fears Oh my friends it's been a long hard year"", ""But now it's Christmas Yes it's Christmas Thank God it's Christmas"", ""The moon and stars seem awful cold and bright Let's hope the snow will make this Christmas right My friend the world will share this special night Because it's Christmas Yes it's Christmas Thank God it's Christmas For one night"", ""Thank God it's Christmas yeah Thank God it's Christmas Thank God it's Christmas Can it be Christmas Let it be Christmas Ev'ry day"", ""Oh my love we've lived in troubled days Oh my friend we have the strangest ways All my friends on this one day of days Thank God it's Christmas Yes it's Christmas Thank God it's Christmas For one day"", ""Thank God it's Christmas Yes it's Christmas Thank God it's Christmas Oooh yeah Thank God it's Christmas Yes yes yes yes it's Christmas Thank God it's Christmas For one day"", ""A very merry Christmas to you all"""
116,some things that glitter   ,"""Once I loved a butterfly Don't wonder how, don't ask me why But I believed what I'd been told \""All things that glitter can't be gold\"""", ""Ooooo ooo yeah All things that glitter can't be gold"", ""Those jealous minds conspired to say Just let that creature fly away How can it be she has it all Her pride is headed for a fall"", ""Ooooo ooo yeah All things that glitter can't be gold"", ""Oh Lord, what races we run Seeking our place in the sun Reaching and hoping we'll find the right one"", ""Now every day a new joy brings My butterfly grew golden wings It seems we find as we grow old Some things that glitter may be gold"", ""Ooooo ooo yeah Some things that glitter may be gold"", ""So let us mind what's there to see Before our hearts become too cold In spite of all that we've been told Some things that glitter may be gold"", ""Ooooo ooo yeah Some things that glitter may be gold"", ""Ooooo ooo yeah Some things that glitter May be gold"""
117,papa was a rollin stone   ,
118,dancer   ,"""I'm not invited to the party Been sitting here all night I'm all alone at the party I don't feel all right Ain't got no black coat Ain't got no tie I gotta shape up now Come on baby you gotta know why"", ""Take off! Dancer dancer I can't live with it I'm gonna die without it Dancer dancer Ain't no doubt about it Dancer dancer Why don't you kick off your dancing shoes And come and ride with me? Cool"", ""You're the life and soul of the funk-tion It took me all night To get hold of the right introduction Blew me out of sight I taste your lipstick I look in your eyes You feel fantastic My body cries"", ""Take off Dancer dancer I can't live with it I'm gonna die without it Dancer dancer Ain't no doubt about it Dancer dancer Why don't you kick off your dancing shoes And come and ride with me? Hot space let's go!"", ""Yeah - can I see you baby? Dancer dancer I can't believe you're dancing Dancer dancer Can't take you home I can't take you dancing Dancer dancer Bring out the funk and dance the night away Dancer dancer We got bully Dancer dancer"", ""\""Guten Morgen, Sie w\u00c3\u00bcnschten, geweckt zu werden.\"""", ""Dancer dancer Dancer dancer Dance dance dance dance Dancer dancer."""
119,son and daughter   ,"""I want you Tried to be a Son and daughter rolled into one You said you'd equal any man for having your fun Now didn't you feel surprised to find The cap just didn't fit The world expects a man To buckle down and to shovel shit What'll you do for loving When it's only just begun? I want you to be a woman Tried to be a teacher and a fisher of men An equal people preacher Will you lead us all the same? Well I travelled all round the world A brand new word for day Watching the time mustn't linger behind Pardon me I have to get away What'll you think of heaven If it's back from where you came? I want you to be a woman I want you to be a woman yeah"""
120,lily of the valley   ,"""Baby you've been had I am forever searching high and low But why does everybody tell me no Neptune of the seas Have you an answer for me please And the lily of the valley doesn't know I lie in wait with open eyes I carry on through stormy skies I follow every course My kingdom for a horse But each time I grow old Serpent of the Nile Relieve me for a while And cast me from your spell and let me go Messenger from Seven Seas has flown To tell the King of Rhye he's lost his throne Wars will never cease Is there time enough for peace But the lily of the valley doesn't know"""
